Hari,Mata Kuliah,Semester,SKS,Dosen,Ruang,Kelas,Kapasitas Kelas,start,finish,duration,jumlah_mahasiswa,profit_density
Senin,Kalkulus I,1,3,SUPRIYADI WIBOWO,R001,A,25,09:20:00,10:10:00,50.0,16,0.06
Senin,Kalkulus I,1,3,SUPRIYADI WIBOWO,R001,A,25,10:15:00,11:05:00,50.0,13,0.06
Senin,Kalkulus I,1,3,SUPRIYADI WIBOWO,R001,A,25,11:10:00,12:00:00,50.0,22,0.06
Senin,Pengolahan Citra Digital,5,3,HERI PRASETYO,R001,B,25,13:00:00,13:50:00,50.0,24,0.06
Senin,Pengolahan Citra Digital,5,3,HERI PRASETYO,R001,B,25,13:55:00,14:45:00,50.0,20,0.06
Senin,Pengolahan Citra Digital,5,3,HERI PRASETYO,R001,B,25,15:30:00,16:20:00,50.0,17,0.06
Senin,Data Mining,5,3,WIRANTO,R001,E,25,16:25:00,17:15:00,50.0,22,0.06
Senin,Data Mining,5,3,WIRANTO,R001,E,25,18:10:00,19:00:00,50.0,14,0.06
Senin,Data Mining,5,3,WIRANTO,R001,E,25,22:15:00,23:05:00,50.0,16,0.06
Senin,Bahasa Indonesia,1,2,KUNDHARU SADDHONO,R002,C,40,13:00:00,13:50:00,50.0,34,0.04
Senin,Bahasa Indonesia,1,2,KUNDHARU SADDHONO,R002,C,40,13:55:00,14:45:00,50.0,38,0.04
Senin,Sistem Digital,1,3,AKHMAD SYAIFUDDIN,R002,C,40,15:30:00,16:20:00,50.0,26,0.06
Senin,Sistem Operasi,3,3,HERDITO IBNU DEWANGKORO,R002,D,40,10:15:00,11:05:00,50.0,26,0.06
Senin,Manajemen Jaringan,5,3,HERDITO IBNU DEWANGKORO,R002,A,40,07:30:00,08:20:00,50.0,39,0.06
Senin,Manajemen Jaringan,5,3,HERDITO IBNU DEWANGKORO,R002,A,40,08:25:00,09:15:00,50.0,36,0.06
Senin,Manajemen Jaringan,5,3,HERDITO IBNU DEWANGKORO,R002,A,40,09:20:00,10:10:00,50.0,19,0.06
Senin,Statistika & Probabilitas,1,3,ESTI SURYANI,R003,C,30,07:30:00,08:20:00,50.0,19,0.06
Senin,Statistika & Probabilitas,1,3,ESTI SURYANI,R003,C,30,08:25:00,09:15:00,50.0,14,0.06
Senin,Statistika & Probabilitas,1,3,ESTI SURYANI,R003,C,30,09:20:00,10:10:00,50.0,13,0.06
Senin,Metode Numerik,3,3,UMI SALAMAH,R003,B,30,10:15:00,11:05:00,50.0,23,0.06
Senin,Metode Numerik,3,3,UMI SALAMAH,R003,B,30,11:10:00,12:00:00,50.0,17,0.06
Senin,Basis Data,3,4,BAMBANG WIDOYONO,R003,D,30,13:00:00,13:50:00,50.0,13,0.08
Senin,Basis Data,3,4,BAMBANG WIDOYONO,R003,D,30,13:55:00,14:45:00,50.0,12,0.08
Senin,Basis Data,3,4,BAMBANG WIDOYONO,R003,D,30,15:30:00,16:20:00,50.0,23,0.08
Senin,Basis Data,3,4,BAMBANG WIDOYONO,R003,D,30,16:25:00,17:15:00,50.0,23,0.08
Senin,Pemrograman Berorientasi Objek,3,3,AFRIZAL DOEWES,R004,A,25,13:00:00,13:50:00,50.0,18,0.06
Senin,Pemrograman Berorientasi Objek,3,3,AFRIZAL DOEWES,R004,A,25,13:55:00,14:45:00,50.0,10,0.06
Senin,Pemrograman Berorientasi Objek,3,3,AFRIZAL DOEWES,R004,A,25,15:30:00,16:20:00,50.0,20,0.06
Senin,Matematika Diskrit II,3,2,HERI PRASETYO,R004,C,25,07:30:00,08:20:00,50.0,20,0.04
Senin,Matematika Diskrit II,3,2,HERI PRASETYO,R004,C,25,08:25:00,09:15:00,50.0,24,0.04
Senin,Kecerdasan Komputasional,7,3,WIHARTO,R004,A,25,09:20:00,10:10:00,50.0,19,0.06
Senin,Kecerdasan Komputasional,7,3,WIHARTO,R004,A,25,10:15:00,11:05:00,50.0,25,0.06
Senin,Kecerdasan Komputasional,7,3,WIHARTO,R004,A,25,11:10:00,12:00:00,50.0,21,0.06
Senin,Sistem Digital,1,3,ENDRA PRATAMA,R005,A,25,07:30:00,08:20:00,50.0,21,0.06
Senin,Sistem Digital,1,3,ENDRA PRATAMA,R005,A,25,08:25:00,09:15:00,50.0,25,0.06
Senin,Bahasa Indonesia,1,2,MUHAMMAD ROHMADI,R005,A,25,13:00:00,13:50:00,50.0,24,0.04
Senin,Bahasa Indonesia,1,2,MUHAMMAD ROHMADI,R005,A,25,13:55:00,14:45:00,50.0,23,0.04
Senin,Konsep Pemrograman,1,4,BAMBANG HARJITO,R005,B,25,09:20:00,10:10:00,50.0,23,0.08
Senin,Konsep Pemrograman,1,4,BAMBANG HARJITO,R005,B,25,10:15:00,11:05:00,50.0,24,0.08
Senin,Konsep Pemrograman,1,4,BAMBANG HARJITO,R005,B,25,11:10:00,12:00:00,50.0,23,0.08
Senin,Metode Numerik,3,3,UMI SALAMAH,R005,C,25,15:30:00,16:20:00,50.0,12,0.06
Senin,Bahasa Inggris I,1,2,"PRIMANDA DEWANTI, S.PD.",R006,A,35,16:25:00,17:15:00,50.0,25,0.04
Senin,Bahasa Inggris I,1,2,"PRIMANDA DEWANTI, S.PD.",R006,A,35,18:10:00,19:00:00,50.0,33,0.04
Senin,Basis Data,3,4,BRILYAN HENDRASURYAWAN,R006,A,35,09:20:00,10:10:00,50.0,16,0.08
Senin,Basis Data,3,4,BRILYAN HENDRASURYAWAN,R006,A,35,10:15:00,11:05:00,50.0,18,0.08
Senin,Basis Data,3,4,BRILYAN HENDRASURYAWAN,R006,A,35,11:10:00,12:00:00,50.0,32,0.08
Senin,Pemrograman Berorientasi Objek,3,3,ARIF ROHMADI,R006,D,35,07:30:00,08:20:00,50.0,20,0.06
Senin,Pemrograman Berorientasi Objek,3,3,ARIF ROHMADI,R006,D,35,08:25:00,09:15:00,50.0,34,0.06
Senin,Sistem Terdistribusi,5,3,WISNU WIDIARTO,R006,E,35,13:00:00,13:50:00,50.0,22,0.06
Senin,Sistem Terdistribusi,5,3,WISNU WIDIARTO,R006,E,35,13:55:00,14:45:00,50.0,20,0.06
Senin,Sistem Terdistribusi,5,3,WISNU WIDIARTO,R006,E,35,15:30:00,16:20:00,50.0,31,0.06
Senin,Konsep Pemrograman,1,4,AFRIZAL DOEWES,R007,D,20,07:30:00,08:20:00,50.0,11,0.08
Senin,Konsep Pemrograman,1,4,AFRIZAL DOEWES,R007,D,20,08:25:00,09:15:00,50.0,16,0.08
Senin,Konsep Pemrograman,1,4,AFRIZAL DOEWES,R007,D,20,09:20:00,10:10:00,50.0,19,0.08
Senin,Interaksi Manusia & Komputer ( Team Teaching ),5,2,ERY PERMANA YUDHA + RINI ANGGRAININGSIH,R007,A,20,10:15:00,11:05:00,50.0,9,0.04
Senin,Interaksi Manusia & Komputer ( Team Teaching ),5,2,ERY PERMANA YUDHA + RINI ANGGRAININGSIH,R007,A,20,11:10:00,12:00:00,50.0,17,0.04
Senin,Data Mining,5,3,WIRANTO,R007,A,20,13:00:00,13:50:00,50.0,16,0.06
Senin,Data Mining,5,3,WIRANTO,R007,A,20,13:55:00,14:45:00,50.0,17,0.06
Senin,Data Mining,5,3,WIRANTO,R007,A,20,15:30:00,16:20:00,50.0,12,0.06
Senin,Basis Data,3,4,BRILYAN HENDRASURYAWAN,R008,B,45,15:30:00,16:20:00,50.0,19,0.08
Senin,Teori Game,5,3,NUGHTHOH ARFAWI KURDHI,R008,B,45,09:20:00,10:10:00,50.0,37,0.06
Senin,Teori Game,5,3,NUGHTHOH ARFAWI KURDHI,R008,B,45,10:15:00,11:05:00,50.0,45,0.06
Senin,Teori Game,5,3,NUGHTHOH ARFAWI KURDHI,R008,B,45,11:10:00,12:00:00,50.0,32,0.06
Senin,Kewirausahaan,7,2,AKHMAD SYAIFUDDIN,R008,A,45,07:30:00,08:20:00,50.0,45,0.04
Senin,Kewirausahaan,7,2,AKHMAD SYAIFUDDIN,R008,A,45,08:25:00,09:15:00,50.0,24,0.04
Senin,Etika Profesi,7,2,HARYONO SETIADI,R008,A,45,13:00:00,13:50:00,50.0,29,0.04
Senin,Etika Profesi,7,2,HARYONO SETIADI,R008,A,45,13:55:00,14:45:00,50.0,25,0.04
Senin,Matematika Dasar,1,3,RISTU SAPTONO,R009,B,30,07:30:00,08:20:00,50.0,26,0.06
Senin,Matematika Dasar,1,3,RISTU SAPTONO,R009,B,30,08:25:00,09:15:00,50.0,14,0.06
Senin,Matematika Dasar,1,3,RISTU SAPTONO,R009,B,30,09:20:00,10:10:00,50.0,25,0.06
Senin,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,A,30,10:15:00,11:05:00,50.0,28,0.06
Senin,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,A,30,11:10:00,12:00:00,50.0,15,0.06
Senin,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,A,30,13:00:00,13:50:00,50.0,29,0.06
Senin,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,B,30,13:55:00,14:45:00,50.0,19,0.06
Senin,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,B,30,15:30:00,16:20:00,50.0,15,0.06
Senin,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,B,30,16:25:00,17:15:00,50.0,13,0.06
Senin,Statistika Sains Data,1,3,GETUT PRAMESTI,R010,A,30,07:30:00,08:20:00,50.0,17,0.06
Senin,Statistika Sains Data,1,3,GETUT PRAMESTI,R010,A,30,08:25:00,09:15:00,50.0,21,0.06
Senin,Statistika Sains Data,1,3,GETUT PRAMESTI,R010,A,30,09:20:00,10:10:00,50.0,15,0.06
Senin,Matematika Dasar,1,3,RISTU SAPTONO,R010,A,30,10:15:00,11:05:00,50.0,29,0.06
Senin,Matematika Dasar,1,3,RISTU SAPTONO,R010,A,30,11:10:00,12:00:00,50.0,23,0.06
Senin,Matematika Dasar,1,3,RISTU SAPTONO,R010,A,30,13:00:00,13:50:00,50.0,13,0.06
Senin,Bahasa Inggris,1,2,"PRIMANDA DEWANTI, S.PD.",R010,A,30,19:30:00,20:20:00,50.0,21,0.04
Senin,Bahasa Inggris,1,2,"PRIMANDA DEWANTI, S.PD.",R010,A,30,20:25:00,21:15:00,50.0,15,0.04
Senin,Analisis Data Citra Biomedik,5,3,ESTI SURYANI,R010,A,30,13:55:00,14:45:00,50.0,25,0.06
Senin,Analisis Data Citra Biomedik,5,3,ESTI SURYANI,R010,A,30,15:30:00,16:20:00,50.0,27,0.06
Senin,Analisis Data Citra Biomedik,5,3,ESTI SURYANI,R010,A,30,16:25:00,17:15:00,50.0,26,0.06
Selasa,Fisika ( Team Teaching ),1,3,AGUS SUPRIYANTO + LUTHFIYA KURNIA PERMATAHATI,R001,D,25,07:30:00,08:20:00,50.0,17,0.06
Selasa,Fisika ( Team Teaching ),1,3,AGUS SUPRIYANTO + LUTHFIYA KURNIA PERMATAHATI,R001,D,25,08:25:00,09:15:00,50.0,23,0.06
Selasa,Fisika ( Team Teaching ),1,3,AGUS SUPRIYANTO + LUTHFIYA KURNIA PERMATAHATI,R001,D,25,09:20:00,10:10:00,50.0,16,0.06
Selasa,Sistem Terdistribusi,5,3,ERY PERMANA YUDHA,R001,C,25,13:00:00,13:50:00,50.0,21,0.06
Selasa,Sistem Terdistribusi,5,3,ERY PERMANA YUDHA,R001,C,25,13:55:00,14:45:00,50.0,18,0.06
Selasa,Sistem Terdistribusi,5,3,ERY PERMANA YUDHA,R001,C,25,15:30:00,16:20:00,50.0,23,0.06
Selasa,Organisasi dan Arsitektur Komputer,1,3,HERDITO IBNU DEWANGKORO,R001,B,25,10:15:00,11:05:00,50.0,17,0.06
Selasa,Pendidikan Agama Islam,1,2,CHOIROEL ANAM,R002,C,40,09:20:00,10:10:00,50.0,36,0.04
Selasa,Pendidikan Agama Islam,1,2,CHOIROEL ANAM,R002,C,40,10:15:00,11:05:00,50.0,31,0.04
Selasa,Pendidikan Agama Islam,1,2,RELLY PRIHATIN,R002,D,40,13:00:00,13:50:00,50.0,28,0.04
Selasa,Pendidikan Agama Islam,1,2,RELLY PRIHATIN,R002,D,40,13:55:00,14:45:00,50.0,33,0.04
Selasa,Pemrograman Berorientasi Objek,3,3,ARIF ROHMADI,R002,C,40,07:30:00,08:20:00,50.0,30,0.06
Selasa,Pemrograman Berorientasi Objek,3,3,ARIF ROHMADI,R002,C,40,08:25:00,09:15:00,50.0,36,0.06
Selasa,Pemrograman Berorientasi Objek,3,3,ARIF ROHMADI,R002,C,40,11:10:00,12:00:00,50.0,39,0.06
Selasa,Pemrograman Berorientasi Objek,3,3,ARIF ROHMADI,R002,D,40,15:30:00,16:20:00,50.0,40,0.06
Selasa,Basis Data,3,4,BRILYAN HENDRASURYAWAN,R003,B,30,07:30:00,08:20:00,50.0,24,0.08
Selasa,Basis Data,3,4,BRILYAN HENDRASURYAWAN,R003,B,30,08:25:00,09:15:00,50.0,20,0.08
Selasa,Basis Data,3,4,BRILYAN HENDRASURYAWAN,R003,B,30,09:20:00,10:10:00,50.0,26,0.08
Selasa,Sistem Operasi,3,3,HERDITO IBNU DEWANGKORO,R003,C,30,13:00:00,13:50:00,50.0,24,0.06
Selasa,Sistem Operasi,3,3,HERDITO IBNU DEWANGKORO,R003,C,30,13:55:00,14:45:00,50.0,12,0.06
Selasa,Sistem Operasi,3,3,HERDITO IBNU DEWANGKORO,R003,C,30,15:30:00,16:20:00,50.0,18,0.06
Selasa,Bahasa Indonesia,1,2,MUHAMMAD ROHMADI,R004,B,25,10:15:00,11:05:00,50.0,18,0.04
Selasa,Bahasa Indonesia,1,2,MUHAMMAD ROHMADI,R004,B,25,11:10:00,12:00:00,50.0,17,0.04
Selasa,Semantic Web,7,3,DEWI WISNU WARDANI,R004,A,25,07:30:00,08:20:00,50.0,10,0.06
Selasa,Semantic Web,7,3,DEWI WISNU WARDANI,R004,A,25,08:25:00,09:15:00,50.0,21,0.06
Selasa,Semantic Web,7,3,DEWI WISNU WARDANI,R004,A,25,09:20:00,10:10:00,50.0,17,0.06
Selasa,Kecerdasan Komputasional,7,3,WIHARTO,R004,B,25,13:00:00,13:50:00,50.0,17,0.06
Selasa,Kecerdasan Komputasional,7,3,WIHARTO,R004,B,25,13:55:00,14:45:00,50.0,24,0.06
Selasa,Kecerdasan Komputasional,7,3,WIHARTO,R004,B,25,15:30:00,16:20:00,50.0,20,0.06
Selasa,Bahasa Indonesia,1,2,KUNDHARU SADDHONO,R005,D,25,10:15:00,11:05:00,50.0,12,0.04
Selasa,Bahasa Indonesia,1,2,KUNDHARU SADDHONO,R005,D,25,11:10:00,12:00:00,50.0,10,0.04
Selasa,Pendidikan Agama katholik,1,2,VINSENSIUS KRISWIDIATMA TJAHJA H,R005,E,25,16:25:00,17:15:00,50.0,17,0.04
Selasa,Pendidikan Agama katholik,1,2,VINSENSIUS KRISWIDIATMA TJAHJA H,R005,E,25,18:10:00,19:00:00,50.0,12,0.04
Selasa,Pendidikan Agama Kristen,1,2,HERY HARJANTO,R005,F,25,22:15:00,23:05:00,50.0,12,0.04
Selasa,Pendidikan Agama Kristen,1,2,HERY HARJANTO,R005,F,25,22:15:00,23:05:00,50.0,10,0.04
Selasa,Machine Learning,5,3,SHAIFUDIN ZUHDI,R005,A,25,07:30:00,08:20:00,50.0,20,0.06
Selasa,Machine Learning,5,3,SHAIFUDIN ZUHDI,R005,A,25,08:25:00,09:15:00,50.0,14,0.06
Selasa,Machine Learning,5,3,SHAIFUDIN ZUHDI,R005,A,25,09:20:00,10:10:00,50.0,19,0.06
Selasa,Manajemen Sistem Informasi,5,3,RINI ANGGRAININGSIH,R005,A,25,13:00:00,13:50:00,50.0,16,0.06
Selasa,Manajemen Sistem Informasi,5,3,RINI ANGGRAININGSIH,R005,A,25,13:55:00,14:45:00,50.0,19,0.06
Selasa,Manajemen Sistem Informasi,5,3,RINI ANGGRAININGSIH,R005,A,25,15:30:00,16:20:00,50.0,18,0.06
Selasa,Konsep Pemrograman,1,4,BAMBANG HARJITO,R006,A,35,07:30:00,08:20:00,50.0,20,0.08
Selasa,Konsep Pemrograman,1,4,BAMBANG HARJITO,R006,A,35,08:25:00,09:15:00,50.0,22,0.08
Selasa,Konsep Pemrograman,1,4,BAMBANG HARJITO,R006,A,35,09:20:00,10:10:00,50.0,21,0.08
Selasa,Metode Numerik,3,3,UMI SALAMAH,R006,A,35,15:30:00,16:20:00,50.0,25,0.06
Selasa,Matematika Diskrit II,3,2,SHAIFUDIN ZUHDI,R006,B,35,13:00:00,13:50:00,50.0,15,0.04
Selasa,Matematika Diskrit II,3,2,SHAIFUDIN ZUHDI,R006,B,35,13:55:00,14:45:00,50.0,14,0.04
Selasa,Sistem Manajemen Basis Data,3,3,DEWI WISNU WARDANI,R006,B,35,10:15:00,11:05:00,50.0,29,0.06
Selasa,Konsep Pemrograman,1,4,AFRIZAL DOEWES,R007,C,20,13:00:00,13:50:00,50.0,14,0.08
Selasa,Konsep Pemrograman,1,4,AFRIZAL DOEWES,R007,C,20,13:55:00,14:45:00,50.0,14,0.08
Selasa,Konsep Pemrograman,1,4,AFRIZAL DOEWES,R007,C,20,15:30:00,16:20:00,50.0,15,0.08
Selasa,Konsep Pemrograman,1,4,AFRIZAL DOEWES,R007,C,20,16:25:00,17:15:00,50.0,12,0.08
Selasa,Matematika Diskrit II,3,2,HERI PRASETYO,R007,D,20,07:30:00,08:20:00,50.0,10,0.04
Selasa,Matematika Diskrit II,3,2,HERI PRASETYO,R007,D,20,08:25:00,09:15:00,50.0,19,0.04
Selasa,Konsep Pemrograman,1,4,BAMBANG HARJITO,R008,B,45,15:30:00,16:20:00,50.0,25,0.08
Selasa,Etika Profesi,7,2,HARYONO SETIADI,R008,B,45,07:30:00,08:20:00,50.0,39,0.04
Selasa,Etika Profesi,7,2,HARYONO SETIADI,R008,B,45,08:25:00,09:15:00,50.0,44,0.04
Selasa,Kewirausahaan,7,2,AKHMAD SYAIFUDDIN,R008,C,45,13:00:00,13:50:00,50.0,20,0.04
Selasa,Kewirausahaan,7,2,AKHMAD SYAIFUDDIN,R008,C,45,13:55:00,14:45:00,50.0,18,0.04
Selasa,Kewirausahaan,7,2,NISAUL HASANAH A ROSYAD,R008,D,45,09:20:00,10:10:00,50.0,20,0.04
Selasa,Kewirausahaan,7,2,NISAUL HASANAH A ROSYAD,R008,D,45,10:15:00,11:05:00,50.0,22,0.04
Selasa,Statistika Sains Data,1,3,GETUT PRAMESTI,R009,B,30,07:30:00,08:20:00,50.0,26,0.06
Selasa,Statistika Sains Data,1,3,GETUT PRAMESTI,R009,B,30,08:25:00,09:15:00,50.0,25,0.06
Selasa,Statistika Sains Data,1,3,GETUT PRAMESTI,R009,B,30,09:20:00,10:10:00,50.0,14,0.06
Selasa,Pancasila,3,2,MUHAMMAD HENDRI NURYADI,R009,A,30,11:10:00,12:00:00,50.0,12,0.04
Selasa,Pancasila,3,2,MUHAMMAD HENDRI NURYADI,R009,A,30,13:00:00,13:50:00,50.0,16,0.04
Selasa,Pancasila,3,2,MUHAMMAD HENDRI NURYADI,R009,B,30,13:55:00,14:45:00,50.0,25,0.04
Selasa,Pancasila,3,2,MUHAMMAD HENDRI NURYADI,R009,B,30,15:30:00,16:20:00,50.0,18,0.04
Selasa,Pendidikan Agama Kristen,1,2,HERY HARJANTO,R009,A,30,16:25:00,17:15:00,50.0,20,0.04
Selasa,Pendidikan Agama Kristen,1,2,HERY HARJANTO,R009,A,30,18:10:00,19:00:00,50.0,26,0.04
Selasa,Teknologi Cloud untuk Big Data dan Data Analitik,5,3,BAMBANG WIDOYONO,R010,B,30,07:30:00,08:20:00,50.0,26,0.06
Selasa,Teknologi Cloud untuk Big Data dan Data Analitik,5,3,BAMBANG WIDOYONO,R010,B,30,08:25:00,09:15:00,50.0,21,0.06
Selasa,Teknologi Cloud untuk Big Data dan Data Analitik,5,3,BAMBANG WIDOYONO,R010,B,30,09:20:00,10:10:00,50.0,24,0.06
Selasa,Pembelajaran Mesin,5,3,MUHAMMAD FAHMY NADHIF,R010,B,30,10:15:00,11:05:00,50.0,30,0.06
Selasa,Pembelajaran Mesin,5,3,MUHAMMAD FAHMY NADHIF,R010,B,30,11:10:00,12:00:00,50.0,18,0.06
Selasa,Pembelajaran Mesin,5,3,MUHAMMAD FAHMY NADHIF,R010,B,30,13:00:00,13:50:00,50.0,28,0.06
Selasa,Intelijen Bisnis,5,3,ENDRA PRATAMA,R010,A,30,13:55:00,14:45:00,50.0,15,0.06
Selasa,Intelijen Bisnis,5,3,ENDRA PRATAMA,R010,A,30,15:30:00,16:20:00,50.0,16,0.06
Selasa,Intelijen Bisnis,5,3,ENDRA PRATAMA,R010,A,30,16:25:00,17:15:00,50.0,18,0.06
Rabu,Matematika Diskrit II,3,2,SHAIFUDIN ZUHDI,R001,A,25,07:30:00,08:20:00,50.0,22,0.04
Rabu,Matematika Diskrit II,3,2,SHAIFUDIN ZUHDI,R001,A,25,08:25:00,09:15:00,50.0,24,0.04
Rabu,Sistem Terdistribusi,5,3,WISNU WIDIARTO,R001,F,25,13:00:00,13:50:00,50.0,20,0.06
Rabu,Sistem Terdistribusi,5,3,WISNU WIDIARTO,R001,F,25,13:55:00,14:45:00,50.0,22,0.06
Rabu,Sistem Terdistribusi,5,3,WISNU WIDIARTO,R001,F,25,15:30:00,16:20:00,50.0,13,0.06
Rabu,Sistem Digital,1,3,ENDRA PRATAMA,R002,B,40,13:00:00,13:50:00,50.0,28,0.06
Rabu,Sistem Digital,1,3,ENDRA PRATAMA,R002,B,40,13:55:00,14:45:00,50.0,22,0.06
Rabu,Sistem Digital,1,3,ENDRA PRATAMA,R002,B,40,15:30:00,16:20:00,50.0,34,0.06
Rabu,Riset Operasi,5,2,BAMBANG HARJITO,R002,A,40,10:15:00,11:05:00,50.0,37,0.04
Rabu,Riset Operasi,5,2,BAMBANG HARJITO,R002,A,40,11:10:00,12:00:00,50.0,17,0.04
Rabu,Kewirausahaan,7,2,AKHMAD SYAIFUDDIN,R002,B,40,07:30:00,08:20:00,50.0,25,0.04
Rabu,Kewirausahaan,7,2,AKHMAD SYAIFUDDIN,R002,B,40,08:25:00,09:15:00,50.0,28,0.04
Rabu,Pemrograman Berorientasi Objek,3,3,AFRIZAL DOEWES,R003,B,30,13:00:00,13:50:00,50.0,17,0.06
Rabu,Pemrograman Berorientasi Objek,3,3,AFRIZAL DOEWES,R003,B,30,13:55:00,14:45:00,50.0,23,0.06
Rabu,Pemrograman Berorientasi Objek,3,3,AFRIZAL DOEWES,R003,B,30,15:30:00,16:20:00,50.0,23,0.06
Rabu,Pengolahan Citra Digital,5,3,HERDITO IBNU DEWANGKORO,R003,C,30,07:30:00,08:20:00,50.0,22,0.06
Rabu,Pengolahan Citra Digital,5,3,HERDITO IBNU DEWANGKORO,R003,C,30,08:25:00,09:15:00,50.0,18,0.06
Rabu,Pengolahan Citra Digital,5,3,HERDITO IBNU DEWANGKORO,R003,C,30,09:20:00,10:10:00,50.0,12,0.06
Rabu,Jaringan Komputer,3,3,WISNU WIDIARTO,R003,B,30,10:15:00,11:05:00,50.0,12,0.06
Rabu,Jaringan Komputer,3,3,WISNU WIDIARTO,R003,B,30,11:10:00,12:00:00,50.0,24,0.06
Rabu,Sistem Operasi,3,3,HERDITO IBNU DEWANGKORO,R004,D,25,10:15:00,11:05:00,50.0,18,0.06
Rabu,Sistem Operasi,3,3,HERDITO IBNU DEWANGKORO,R004,D,25,11:10:00,12:00:00,50.0,12,0.06
Rabu,Data Mining,5,3,WIRANTO,R004,B,25,07:30:00,08:20:00,50.0,16,0.06
Rabu,Data Mining,5,3,WIRANTO,R004,B,25,08:25:00,09:15:00,50.0,15,0.06
Rabu,Data Mining,5,3,WIRANTO,R004,B,25,09:20:00,10:10:00,50.0,17,0.06
Rabu,Data Mining,5,3,WIRANTO,R004,C,25,13:00:00,13:50:00,50.0,20,0.06
Rabu,Data Mining,5,3,WIRANTO,R004,C,25,13:55:00,14:45:00,50.0,18,0.06
Rabu,Data Mining,5,3,WIRANTO,R004,C,25,15:30:00,16:20:00,50.0,23,0.06
Rabu,Sistem Digital,1,3,AKHMAD SYAIFUDDIN,R005,C,25,10:15:00,11:05:00,50.0,14,0.06
Rabu,Sistem Digital,1,3,AKHMAD SYAIFUDDIN,R005,C,25,11:10:00,12:00:00,50.0,10,0.06
Rabu,Statistika & Probabilitas,1,3,ESTI SURYANI,R005,D,25,13:00:00,13:50:00,50.0,12,0.06
Rabu,Statistika & Probabilitas,1,3,ESTI SURYANI,R005,D,25,13:55:00,14:45:00,50.0,19,0.06
Rabu,Statistika & Probabilitas,1,3,ESTI SURYANI,R005,D,25,15:30:00,16:20:00,50.0,21,0.06
Rabu,Komputasi Grid,5,3,WISNU WIDIARTO,R005,A,25,07:30:00,08:20:00,50.0,17,0.06
Rabu,Komputasi Grid,5,3,WISNU WIDIARTO,R005,A,25,08:25:00,09:15:00,50.0,24,0.06
Rabu,Komputasi Grid,5,3,WISNU WIDIARTO,R005,A,25,09:20:00,10:10:00,50.0,20,0.06
Rabu,Kalkulus I,1,3,MIRA ANDRIYANI,R006,C,35,07:30:00,08:20:00,50.0,35,0.06
Rabu,Kalkulus I,1,3,MIRA ANDRIYANI,R006,C,35,08:25:00,09:15:00,50.0,22,0.06
Rabu,Kalkulus I,1,3,MIRA ANDRIYANI,R006,C,35,09:20:00,10:10:00,50.0,33,0.06
